year,title,issn,id,doi,url_publicacion,conc_ciencia,titulo,abstract,tipo_fuente,autores,sjr_materia,fuente,,,,,,,,,Total articulos 2000-2024: 754
2000,Expresiones Funerarias de la Prehistoria Reciente de Carmona (Sevilla),1133-4525,958838,10.12795/spal.2000.i9.21,,,Expresiones funerarias de la Prehistoria reciente de Carmona (Sevilla),"This paper analyzes several funerary finds from Carmona (Sevilla).Most of them belong to the regional Early Bronze Age that developed during the first half of the IInd.Millenium B.C. Domestic and funerary data coincide in defining this historical period of the region of the Alcores with its own characteristics.These are synchronic but differenciated from the better known development of the Bronze Age in the neighbour regions of the Southwest or the Argar with which it shares several features.Adults and infants were buried in shallow or horizontal pits and have been found, alone or forming small groups, inside and outside of the domestic zone of the walled area of the city. Palabras clavesBajo Guadalquivir.Edad del Bronce.Tumbas.Covachas.Fosas.Ritual funerario.",['Revista'],1|R. Anglada; 2|E. Conlin; 3|T. Gómez; 4|A. Jiménez,,Spal,,,,,,,,,
2000,From the Mesolithic to the Neolithic in the Iberian Peninsula,,958752,10.1017/cbo9780511607851.007,,,From the Mesolithic to the Neolithic in the Iberian peninsula,"As exemplified by the open air art and habitation sites of the Douro basin, particularly those recently found in the Côa valley (Zilhão et al. 1997), the interior of Iberia knew an important settlement throughout the Upper Palaeolithic. However, after the end of the Ice Age, c. 11,400 calendar years ago, it shows no sign of human occupation (with the exception of some areas in the upper Ebro basin) until 5000–4500 BC, when the protagonists of such occupation are already clearly defined agro-pastoral societies. This pattern seems to be a genuine reflection of regional settlement history. Many systematic survey projects in both Portugal and Spain (Iglesias et al. 1996, Arias 1997) have consistently identified large numbers of late early Neolithic (epi-Cardial or Impressed-Ware) sites all over this vast area, as well as, particularly in Portugal, fair numbers of Upper Palaeolithic sites. None, however, is of Mesolithic age, and there is not a single typical Cardial sherd.",['Libro'],1|João Zilhão,,Cambridge University Press Ebooks,,,,,,,,,
2000,Fuente Álamo: Las Excavaciones Arqueológicas 1977-1991 en el Poblado de la Edad del Bronce,,958786,,,,Fuente Álamo: las excavaciones arqueológicas 1977-1991 en el poblado de la Edad del Bronce,,['Revista'],1|Hermanfrid Schubart; 2|Oswaldo Arteaga; 3|Volker Pingel,,,,,,,,,,,
2000,"Intervención Arqueolóxica de Urxencia no Xacemento de Entrepiñeiro (Mos, Pontevedra)",,960320,,,,Intervención arqueolóxica de urxencia no xacemento de Entrepiñeiro (Mos-Pontevedra,,['Revista'],1|Santiago Vázquez Collazo,,,,,,,,,,,
2000,"Investigación, Adecuación y Musealización del Santuario Protohistórico de Cancho Roano (Zalamea de la Serena, Badajoz)",,405074,10.3989/tp.2000.v57.i2.253,,,"Investigación, adecuación y musealización del santuario protohistórico de Cancho Roano (Zalamea de la Serena, Badajoz)","En los últimos años se están llevando a cabo una serie de intervenciones en el santuario protohistórico de Cancho Roano que desembocarán en los próximos meses en su definitiva apertura al público. Todos estos trabajos se han elaborado bajo sendos proyectos financiados con fondos europeos, por las administraciones públicas y por la iniciativa privada, pero sin que se haya abandonado en ningún momento el objetivo científico: así, se han realizado las excavaciones de los edificios inferiores y de las estructuras arquitectónicas del exterior, se ha levantado una nueva cubierta para proteger las nuevas zonas exhumadas, se han acometido obras de restauración, consolidación y restitución de las estructuras arquitectónicas, se ha llevado a cabo la compra de terrenos y la realización de un nuevo cierre del espacio protegido y, por último, se están finalizando las obras de un Centro de Interpretación junto al enclave para explicar al visitanteel complejo monumental que van a visitar. El propio santuario ha servido de revulsivo para potenciar otros yacimientos de la zona y crear una infraestructura en la comarca cuyo objetivo es impulsar el turismo cultural. (A.)",['Revista'],"1|Celestino Pérez, Sebastián",,Trabajos de Prehistoria,,,,,,,,,
2000,Itinerario arqueológico de los dólmenes de Sedano (Burgos),0082-5638,959766,10.3989/tp.2000.v57.i2.250,,,Itinerario arqueológico de los dólmenes de Sedano (Burgos),"Tras la excavación en los años 80 de una serie de sepulcros megalíticos de la comarca de Sedano, en La Lora Burgalesa, la Junta de Castilla y León ha promovido la iniciativa de recuperar los más vistosos y de crear en torno a ellos un proyecto de difusión cultural. Ello ha exigido la restauración de tales monumentos y la creación de una infraestructura didáctica (la edición de una guía y la creación de un Aula en Sedano) que está previsto entren en funcionamiento a partir del verano del año 2000.",['Revista'],1|Germán Delibes de Castro,,Trabajos de Prehistoria,,,,,,,,,
2000,La Fortaleza de Arbeca: El Proyecto Vilars 2000,0082-5638,959505,10.3989/tp.2000.v57.i2.255,,,"“La fortaleza de Arbeca. El proyecto Vilars 2000”. Investigación, recuperación y socialización del conocimiento y del patrimonio","[es] La fortaleza de Els Vilars (Arbeca, Lleida), construida en torno al 750 cal. ANE y abandonada poco después del 350 ANE, constituye un yacimiento clave para la comprensión de la Primera Edad del Hierro y la Época Ibérica en sus fases antigua y plena en el noreste de la Península Ibérica. Sus defensas excepcionales, muralla torreada, barrera de piedras hincadas y foso, la convierten en referente de la fortificación ibérica. El proyecto ""Vilars 2000"" tiene por objeto la investigación, la recuperación patrimonial y la difusión pública. Se exponen los objetivos del Plan Director, así como la estrategia de obtención de recursos económicos, incidiendo en su condición de valor turístico de primer orden. [fr] “La forteresse de Arbeca. Le projet Vilars 2000”. Recherche, recuperation et socialisation de la connaissance et du patrimonie. La forteresse de ""Fis Vilars"" (Arbeca, Lleida), bâtie vers 775 cal. BC et abandonnée un peu après l'année 350 BC, devient un site clé pour l´étude du premier Âge du Fer et la période ibérique ancienne et pleine dans le nord-est de la Péninsule Ibérique. Ses défenses exceptionnelles, rempart flanqué de 12 tours, chevaux-de-frise et fossé, permettent la considérer comme le point de référence des fortifications ibériques. Le projet ""Vilars 2000"" a comme buts la recherche scientifique, la récupération patrimoniale et la diffusion au grand public. Dans cet article sont présentés les objectifs du Plan Directeur, ainsi que la stratégie pour obtenir les moyens économiques nécessaires, compte tenu de l'intérêt touristique majeur du site.",['Revista'],1|Natàlia Alonso; 2|Emili Junyent; 3|Ángel Lafuente; 4|Joan B. López; 5|Enric Tartera,,Trabajos de Prehistoria,,,,,,,,,
2000,"La Prehistoria de las Marismas: Excavaciones en la Cueva de La Fragua (Santoña), Campañas de 1990, 1991, 1993, 1994 y 1996",,959905,,,,"La Prehistoria de las Marismas: excavaciones en la cueva de La Fragua, Santoña. Campañas de 1990, 1991, 1993, 1994 y 1996",,['Revista'],1|Manuel Ramón González Morales,,,,,,,,,,,
2000,La Revalorización del Patrimonio Arqueológico: La Definición de un Programa para el Ayuntamiento de Toques (A Coruña),,959902,,,,La revalorización del patrimonio arqueológico. La definición de un programa para el Ayuntamiento de Toques (A Coruña),,['Revista'],1|Matilde González Méndez,,,,,,,,,,,
2000,La Tecnología Cerámica en la Protohistoria Vasca,,960264,,,,La tecnología cerámica en la Protohistoria vasca,,['Revista'],1|Carlos Olaetxea Elosegi,,Munibe. Suplemento,,,,,,,,,
2000,La Transición al Neolítico en la Región Cantábrica: Estado de la Cuestión,,959533,,,,La transición al Neolítico en la región cantábrica: estado de la cuestión,,['Revista'],1|Roberto Ontañón Peredo; 2|Jesús Emilio González Urquijo; 3|Lydia Zapata Peña; 4|Juan José Ibáñez Estévez; 5|Pablo Arias Cabal; 6|Jesús Altuna Etxabe; 7|Angel Armendáriz Gutiérrez,,,,,,,,,,,
2000,La colonización humana de Mallorca en el contexto de las islas occidentales del Mediterráneo: una revisión crítica,,960045,,,,La colonización humana de Mallorca en el contexto de las islas occidentales del Mediterráneo: una revisión crítica,,['Revista'],1|Víctor M. Guerrero Ayuso,,,,,,,,,,,
2000,"Les Roques del Sarró (Lleida, Segrià): Evolució de lAssentament entre el 3600 Cal",,959770,,,,"Les Roques del Sarró (Lleida, Segrià): Evolució de l'assentament entre el 3600 cal. a.n.e i el i el 175 a.n.e","El present treball presenta els resultats de l'excavacio arqueologica d'urgencia del jaciment de les Roques del Sarro, duta a terme durant la tardar de 1994, en el marc deis treballs de construccio de la variant nord de la N-II al seu pas per Lleida. L'estudi del jaciment, destruit poc despres d'acabada la intervencio, permete documentar una amplissima sequencia amb diferents fases ocupacionals amb solucio de contimutat que s'inicia en el neolitic i es perllonga fins a l'epoca iberica plena. L'excavacio i estudi del jaciment de les Roques del Sarro ha aportat una serie de dades i documents arqueologics modestos pero valuosos que han contribuit decididament, d'una banda, a la incipient caracteritzacio deis models d'ocupacio prehistorics de la plana occidental catalana i, de l'altra, a l'aprofundiment del coneixement de l'epoca iberica, mes ben definida, pero mancada darrerament de noves dades generades per excavacions extensives plantejades des de la perspectiva de la interdisciplinarietat.",['Revista'],10|Antoni Llussà Guasch; 11|Josep Maria Mirada Donisa; 12|J. M. Miró; 13|Marta Morán Álvarez; 14|J. Roca; 15|M. T. Ros; 16|C. Rovira; 17|Enric Tartera; 1|Natàlia Alonso; 2|Ignacio Clemente; 3|C. Ferrer; 4|M. Gené; 5|Juan Francisco Gibaja; 6|N. Juan Muns; 7|Emili Junyent; 8|Ángel Lafuente; 9|Joan López,,Revista D'arqueologia de Ponent,,,,,,,,,
2000,Mito y realidad de los primeros baleáricos,,959841,,,,Mito y realidad de los primeros baleáricos,"Les Baleares est l'archipel le plus isole de tous les territoires insulaires de la mediterranee. A partir des recherches actuelles, le modele de relation entre les hommes prehistoriques et la faune pleistocene autochtone qui a ete admis comme valide jusqu'a maintenant, semble etre errone. Ainsi, les traces observees sur les bois de Myotragus ne seraient pas dues a une activite anthropique mais plutot a un phenomene post-mortem. Ces animaux n'auraient pas ete alors des animaux domestiques.",['Revista'],1|Víctor M. Guerrero Ayuso,,Revista de Arqueología,,,,,,,,,
2000,Programa de Corrección del Impacto Arqueológico de la Gasificación de Galicia: Un Ejemplo de Gestión Integral del Patrimonio Arqueológico,1131-6993,959763,10.5209/cmpl.30871,,,Programa de corrección del impacto arqueológico de la gasificación de Galicia. Un ejemplo de gestión integral del Patrimonio Arqueológico,".- El proposito de este texto es: (1) presentar el trabajo que el Grupo de Investigacion en Arqueolo gia del Paisaje de la USC ha realizado durante tres anos para corregir el impacto arqueologico de la construc cion de la Red de Gasificacion de Galicia, (2) exponer los planteamientos organizativos y metodologicos a los que este trabajo se ajusto, y (3) avanzar los principales resultados ofrecidos por este programa de trabajo ar queologico en lo que se refiere tanto a proteccion y gestion del Patrimonio, como a la investigacion historica asociada. Al mismo tiempo, se pretende ofrecer un ejemplo practico de la posibilidad real de compatibilizar la proteccion del Patrimonio Arqueologico, la realizacion de intervenciones de urgencia o, mas bien, preventivas y la Arqueologia Comercial, con un proceso de investigacion y produccion de conocimiento arqueologico. The correction program of the Galician Pipelines archaeological impact: a case of Heritage resource management.",['Revista'],1|Isabel Cobas; 2|Felipe Criado; 3|Xesús Amado; 4|M. Del Carmen Martinez; 5|César Parcero,,Complutum,,,,,,,,,
2000,Radiocarbon Dates from the Oxford AMS System: Archaeometry Datelist 30,,959674,10.1111/j.1475-4754.2000.tb00893.x,,,RADIOCARBON DATES FROM THE OXFORD AMS SYSTEM: ARCHAEOMETRY DATELIST 30,,['Revista'],1|C. BRONK RAMSEY; 2|P. B. PETTITT; 3|R. E. M. HEDGES; 4|G. W. L. HODGINS; 5|D. C. OWEN,,Archaeometry,,,,,,,,,
2000,"Semillas y Frutos Arqueológicos del Yacimiento Calcolítico de Las Pilas (Mojácar, Almería)",1131-6993,960344,10.5209/cmpl.30878,,,"SEMILLAS Y FRUTOS ARQUEOLÓGICOS DEL YACIMIENTO CALCOLÍTICO DE LAS PILAS (MOJÁCAR, ALMERÍA)",".- En el presente articulo pretendemos estudiar la economia vegetal de la sociedad que habito en el asentamiento de Las Pilas (Mojacar, Almeria) durante el periodo calcolitico (c. 2700-1800 a.C.) a traves del analisis de los restos de semillas y frutos que han perdurado en el registro arqueologico. Los principales temas que hemos abordado los hemos estructurado en cuatro grandes bloques. El primero se refiere a la presentacion de la metodologia utilizada en la recogida y el tratamiento de las muestras carpologicas. El segundo a la deter minacion de las plantas utilizadas en Las Pilas y la busqueda de paralelos en otros yacimientos de la region. El tercero se vincula a la caracterizacion de la agricultura, la recoleccion y la dieta vegetal. Para finalizar presen tamos las estructuras relacionadas con la manipulacion de productos vegetales: estructuras de combustion, de almacenaje, etc. Archaeological seeds and fruits from the Copper Age site of Las Pilas (Mojacar, Almeria).",['Revista'],1|Núria Rovira i Buendia,,Complutum,,,,,,,,,
2000,Sondeos Arqueológicos en Yacimientos en Cueva del Municipio de Entrambasaguas,,959537,,,,Sondeos arqueológicos en yacimientos en cueva del municipio de Entrambasaguas,,['Revista'],1|Roberto Ontañón Peredo; 2|Pablo Arias Cabal,,,,,,,,,,,
2000,Symbols in Stone: Ritual Activities and Petrified Traditions,,959625,,,,Symbols in stone - ritual activities and petrified traditions,,['Revista'],1|Lars Olof Larsson,,,,,,,,,,,
2001,"14C-Datierungen von Materialien Aus der Grabung Fuente Álamo (Cuevas del Almanzora, Almería)",0418-9744,959913,,,,"14C-Datierungen von Materialien aus der Grabung Fuente Álamo (Cuevas del Almanzora, Almería)",,['Revista'],1|Jochen Görsdorf,,Mitteilungen Des Deutschen Archaologischen Instituts. Abteilung Madrid,,,,,,,,,
2001,A Anta 2 da Herdade de Santa Margarida (Reguengos de Monsaraz),0874-2782,959846,,,,A Anta 2 da Herdade de Santa Margarida (Reguengos de Monsaraz),"Apresentam-se os resultados de uma escavacao de emergencia levada a efeito em Outubro e Dezembro de 2000 na Anta 2 da Herdade de Santa Margarida, em Reguengos de Monsaraz. Na sequencia da intervencao de maquinaria pesada, o monumento conservava apenas o Corredor e dois esteios da Câmara, bem como a estrutura de condenacao que, em dado momento, encerrou o acesso ao principal espaco funerario. A Anta 2 de Santa Margarida foi uma pequena anta de seis esteios na Câmara, de Corredor curto formula 1+1, rodeada por um espesso e solido anel de contencao e apoio da Câmara e do Corredor. Foi usada para um numero restrito de enterramentos na Câmara (um ou dois), com um deposito votivo de materiais de pedra polida junto ao interior do primeiro esteio da Câmara, e com uma deposicao funeraria ou simplesmente votiva de um vaso, uma enxo e um machado no Corredor. Detectaram-se tracos do ritual do ocre na Câmara (e provavelmente no Corredor) e de pequenos fogos, possivelmente rituais, na Câmara e no Corredor, carvoes identificados como de Calluna vulgaris (urze roxa), Erica umbellata (queiro) e Quercus faginea (carvalho cerquinho), vegetacao indicadora de um contexto mais humido que o actual. Referem-se e discutem-se as caracteristicas arquitectonicas da anta bem como as comparacoes para o espolio, com especial enfase nos comentarios justificados pela presenca de uma goiva integrando o deposito votivo. O espolio remete-nos aparentemente para um horizonte temporal e cultural em sequencia de Poco da Gateira 1. Existem geometricos (trapezios), mas nao pontas de seta e nao se identificaram placas de xisto gravadas. Uma analise do enquadramento, em termos de cronologia absoluta, do fecho da Câmara do monumento, determinada por uma analise de radiocarbono, conduziu a um reapreciar critico das interpretacoes avancadas para as datas 14 C obtidas para a necropole neolitica do Escoural. Incluem-se tambem, em anexo, dois estudos, o primeiro da autoria de Paula Queiroz, sobre as especies vegetais identificadas a partir dos carvoes recolhidos durante a escavacao, e outro reavaliando a arquitectura e espolio da vizinha Anta 1 da Herdade de Santa Margarida.",['Revista'],1|Victor S. Gonçalves,,Revista Portuguesa de Arqueologia,,,,,,,,,
2001,A Idade do Ferro na Região do Baixo Sado,,960375,,,,A idade do ferro na região do Baixo Sado : contribuições recentes,,['Revista'],1|Carlos Tavares da Silva,,,,,,,,,,,
2001,Arquitectura Ciclópea del Bronce Balear,,960021,,,,Arquitectura ciclópea del Bronce balear: análisis morfofuncional y desarrollo secuencial,,['Revista'],1|Manuel Antonio Calvo Trias; 2|Bartomeu Salvà Simonet; 3|Víctor M. Guerrero Ayuso,,,,,,,,,,,
2001,Bases per al coneixement del contacte entre els primers colonitzadors humans i la naturalesa de les Balears,,960014,,,,Bases per al coneixement del contacte entre els primers colonitzadors humans i la naturalesa de les Balears,"EnglishThe goal of this paper is to establish a solid chronology which spans the earliest huma n presence on each of the three larger Balearic Islands . For this purpose, an exhaustive re - examination of ahl archaeological evidence and associated absolute dating related to th e period before the 2nd millennium cal BC was undertaken . Additionally, paleoecological , sedimentological and palaeocultural evidence for human absence on these islands durin g the Holocene has been introduced into the discussion . By using 20 ranges of reliable radio - carbon dating, it can be shown, with a probability p > 95%, that the earliest evidence fo r human presence on Mallorca predates 2030 cal BC . On Menorca it predates c . 1930 cal BC , whereas on Eivissa it is previous to 1880 cal BC . On the other hand, the evidence for human absence indicates that, on the Gymnesics (Eastern Balearics) the human irruption mus t have occurred during the 3rd millennium cal BC, whereas on the Pityusics (Wester n Balearics) it can only be said that this irruption is posterior to the 6th millennium cal BC . catalaL'objectiu del present treball consisteix en establir d'una manera solida la cronologi a a la qual se situa I'inici de la intervencio humana a cada una de les tres illes majors qu e formen I'arxipelag de les Balears . Per tal motiu, es revisen exhaustivament totes le s evidencies arqueologiques considerades arcaiques, aixo es, anteriors al II mil•lenni cal BC , i les datacions absolutes associades. D'altra banda, s'introdueixen a la discussio tots el s indicis paleoecologics, sedimentologics i paleoculturals d'absencia humana a I'Holoce . A partir de I'analisi deis intervals 2a de les datacions que no presenten problemes d'acceptacio, es conclou que, amb una probabilitat superior al 95%, I'evidencia solida de presen - cia humana mes antiga a Mallorca es anterior al 2030 cal BC . A Menorca es anterior a ca . 1930 cal BC, mentre que a Eivissa I'evidencia mes antiga de presencia humana es anterior al 1880 cal BC . Per I'altre extrem, els indicis d'absencia apunten que, a les Gimnesies , la irrupcio humana es degue produir dins el III mi l . lenni cal BC, mentre que a les Pitiuse s nomes es pot dir que aquesta es posterior al VI mil•lenni cal BC .",['Revista'],1|Josep Antoni Alcover i Tomàs; 2|Damià Ramis; 3|Jaume Coll Conesa; 4|Miquel Trias,,Endins: Publicació D'espeleologia,,,,,,,,,
2001,Bone Needles in Mallorcan Prehistory: a Reappraisal,,394056,10.1006/jasc.2000.0612,,,FOCUS: Bone needles in Mallorcan prehistory: A reappraisal,"A review of bone needles from the Mallorcan earliest prehistory is presented. They are not artifacts, but actually represent natural items, identified as Myotragus balearicus fibular diaphysis. The corpus fibulae of M. balearicus is here illustrated by first time. Archaeological and paleontological implications of this diagnosis are discussed in this paper.",['Revista'],"2|Alcover, Josep Antoni; 1|Ramis, Damià",1202|History; 1204|Archeology (arts and Humanities); 3302|Archeology,Journal of Archaeological Science,,,,,,,,,
2001,"Cerámicas de Castrovite (A Estrada, Pontevedra)",0210-8445,959909,,,,"Cerámicas de Castrovite (A Estrada, Pontevedra)",,['Revista'],1|Luis Xulio Carballo Arceo; 2|Alfredo González Ruibal,,Boletín Auriense,,,,,,,,,
2001,"Cueva Oscura de Ania (Las Regueras, Asturias): Contribución al Conocimiento del Aziliense Antiguo Cantábrico",1131-6993,959473,10.5209/cmpl.30842,,,"Cueva oscura de Ania ( Las Regueras, Asturias).Contribución al conocimiento del aziliense antiguo cantábrico","La reciente definicion del Aziliense antiguo cantabrico ha llevado a que la transicion Magdaleniense superior final/Aziliense adquiera aun mayor interes en la region. Este horizonte industrial se considera representativo de las primeras comunidades azilienses de Asturias y la revision critica de los materiales arqueologicos recuperados en Cueva Oscura de Ania, en el centro-occidente de Asturias, esta contribuyendo a precisar las caracteristicas industriales del mismo. Este conjunto muestra rasgos arcaicos que lo emparentan con el procedente del Nivel 5 de la Cueva de los Azules I, en el oriente asturiano. Estas semejanzas apuntan hacia un grado alto de homogeneidad estilistica y tecnica en puntos relativamente distantes durante un periodo critico de reorganizacion estrategica de las comunidades paleoliticas cantabricas. Los datos arqueologicos y polinicos disponibles para este deposito sugieren una fase de transicion hacia el episodio climatico Allerod/Cantabrico VIII, coincidiendo con procesos de desmantelamiento en numerosos depositos cantabricos. Todas estas circunstancias hacen que el yacimiento de Cueva Oscura de Ania contribuya a un mejor conocimiento del origen y desarrollo del Aziliense cantabrico. Asi, el estudio de su conjunto oseo permite perfilar nuevas hipotesis sobre este periodo",['Revista'],1|Gema Elvira Adán Álvarez,,Complutum,,,,,,,,,
2001,Dental Morphology: A Valuable Contribution to Our Understanding of Prehistory,0874-2677,959952,,,,Dental morphology: a valuable contribution to our understanding of prehistory,,['Revista'],1|Mary Jackes; 2|Ana Maria Silva; 3|Joel Irish,,Journal of Iberian Archeology,,,,,,,,,
2001,"El Castro de La Campa Torres, Período Prerromano",,960208,,,,El castro de La Campa Torres: período prerromano,"Tras un cuarto de siglo de excavaciones arqueologicas, aparecia esta memoria cientifica en la que destacados especialistas analizan con exhaustividad los descubrimientos, a veces inesperados, que el castro de la Campa Torres fue revelando. A partir de lo que en un principio se creia tan solo un poblado de la epoca romana y una muralla supuestamente posterior al cambio de Era, se llego al reconocimiento de una sociedad con un minimo de cinco siglos de evolucion previa (Edad del Hierro).",['Revista'],1|José Luis Maya; 2|Francisco Cuesta Toribio,,,,,,,,,,,
2001,El Pretalaiòtic al Llevant mallorquí (1700-1100 AC),,960066,,,,El pretalaiòtic al llevant mallorquí (1700-1100 AC): anàlisi territorial,,['Revista'],1|Bartomeu Salvà Simonet,,,,,,,,,,,
2001,"El Sepulcro Campaniforme de Tres Montes (Bardenas Reales, Navarra)",0211-5174,959523,,,,"El sepulcro campaniforme de Tres Montes (Bardenas Reales, Navarra): Intervención de urgencia de 1991 y campañas de 1996 y 1997",,['Revista'],1|Jesús Sesma Sesma; 2|María Luisa García García; 3|María Teresa Andrés Rupérez,,Trabajos de Arqueología Navarra,,,,,,,,,
2001,"El Sepulcro Megalítico del Tesorillo de la Llaná de Cerro Ardite, Alozaina (Málaga)",1133-4525,959834,10.12795/spal.2001.i10.13,,,"El sepulcro megalítico del Tesorillo de la Llaná de Cerro Ardite, Alozaina, (Málaga)","El presente artículo pretende dar a conocer un nuevo sepulcro megalítico en la provincia de Málaga.A modo de avance, se detallan sus características morfológicas, la historia secuencial de su ocupación y la naturaleza del registro arqueológico en él recuperado.Además se analiza el fenómeno megalítico en la cuenca media del río Grande (Málaga) en el que se inscribe este nuevo yacimiento.Pero en cualquier caso, los autores aprovechan la ocasión para sumarse al merecido homenaje que la revista Spal felizmente ha decidido dedicar al Prof. M. Pellicer por su ingente labor investigadora y docente.This paper pretends to make known a new megalithic burial in the region of Málaga.As an advance, its morphologic characteristics are detailed, as well as the history of its occupation and the nature of the archaeologic record there recovered, are fully detailed.Furthermore, the megalithic phenomenon in the middle basin of river Grande (Málaga) -in which the new deposit is settled-is analyzed.But, aboye al!, the authors would like to join to the worthy tribute that the SPAL review dedicates to Professor M.",['Revista'],1|Juan Fernández Ruiz; 2|José Enrique Márquez Romero,,Spal,,,,,,,,,
2001,El Tossal de la Roca (Alicante): Nuevos Datos sobre el Magdaleniense Mediterráneo de la Península Ibérica,0082-5638,959688,10.3989/tp.2001.v58.i1.234,,,El Tossal de la Roca (Alicante). Nuevos datos sobre el Magdaleniense Mediterráneo de la Península Ibérica,"Los trabajos de estos últimos años en el Tossal de la Roca aportan un marco geocronológico de indudable valor para el Tardiglaciar del Mediterráneo de la Península Ibérica. 19 dataciones radiocarbónicas permiten situar las distintas ocupaciones magdalenienses y del Epipaleolítico inicial entre el 13.690 ± 59 y el 11.820 ± 40 BP. A partir del análisis comparativo de sus industrias con las de otros yacimientos se discute sobre la amplia variabilidad del Magdaleniense en la vertiente mediterránea peninsular. Por último el hallazgo de un arpón en el Tossal de la Roca, donde hasta el momento no se había recuperado ninguno, y el papel otorgado a este elemento como referente cronológico indudable, obliga a revisar los planteamientos comúnmente aceptados para definir este período.",['Revista'],1|Carmen Cacho Quesada; 2|Jesús Jordá Pardo; 3|Ignacio De la Torre Sáinz; 4|José Yravedra Sáinz de los Terreros,,Trabajos de Prehistoria,,,,,,,,,
2001,El depósito de bronces talayóticos de Can Jordi (Santanyí),,960010,,,,El depósito de bronces talayóticos de Can Jordi (Santanyí): nuevas aportaciones,La troballa casual l'any 1979 de dues espases de bronze al Iloc de Can Jordi,['Revista'],1|Joan Carreras Escalas,,"Nuevas aportaciones, Bolletí de la Societat Arqueològica Luliana",,,,,,,,,
2001,El megalitismo mallorquín en el contexto del Mediterráneo occidental,,960047,,,,El megalitismo mallorquín en el contexto del Mediterráneo Occidental,"Las practicas dolmenicas tienen una representacion muy desigual en el archipielago balear. Frente a la relativa importancia numerica de este tipo de sepulturas en la isla de Menorca, Ibiza no registra la existencia de ninguna, mientras que Formentera tiene una magnifica representacion en el conocido dolmen de Ca Na Costa. por los datos que tenemos en la actualidad el fenomeno dolmenico se extiende a Menorca y Formentera hacia fines del tercer milenio 13C, con una larga perduracion en la primera de las islas que seguramente es un buen indicador de su arraigo entre las comunidades prehistoricas islenas. Mallorca presenta igualmente una desarmonia notable por lo que respecta al reparto territorial de las manifestaciones megaliticas. Las dos sepulturas dolmenicas que se conocen hasta hoy se concentran en la zona costera de la bahia de Alcudia que constituye la region geografica que se avista perfectamente desde Menorca. Los origenes de la arquitectura dolmenica en Mallorca parecen corresponder a una manifestacion que tiene lugar cuando esta tradicion funeraria se encuentra bien asentada en las islas de Menorca y Formentera, aunque ciertamente su desarrollo final es basicamente contemporaneo en todas ellas. Todas estas circunstancias, unidas ala similitud formal entre la arquitectura dolmenica mallorquina y menorquina. nos ha llevado a plantear, como hipotesis de trabajo. que el fenomeno dolmenico en la isla de Mallorca pueda ser en realidad una extension del menorquin hacia la isla mayor, con la que sin duda debieron establecerse fuertes relaciones de todo tipo a lo largo del segundo milenio BC, como tambien parece indicarlo la similitud entre los ajuares que proporcionan los contextos funerarios de ambas islas.",['Revista'],1|Manuel Antonio Calvo Trias; 2|Víctor M. Guerrero Ayuso,,Mayurqa: Revista del Departament de Ciències Històriques I Teoria de Les Arts,,,,,,,,,
2001,"La Alcazaba, un Espacio Social Aledaño a la Periferia del Poblado Prehistórico de Valencina de la Concepción (Sevilla): Excavación de Urgencia de 1996",,960096,,,,La Alcazaba. Un espacio social aledaño a la periferia del poblado prehistórico de Valencina de la Concepción (Sevilla). Excavación de urgencia de 1996,,['Revista'],1|Rosario Cruz-Auñón Briones; 2|Oswaldo Arteaga Matute,,,,,,,,,,,
2001,"La Fosa Sepulcral de la Saga (Cáseda, Navarra)",0211-5174,959868,,,,"La fosa sepulcral de La Saga (Cáseda, Navarra)",,['Revista'],1|Jesús Sesma Sesma; 2|María Inés Tabar Sarrías; 3|Jesús García Gazólaz,,Trabajos de Arqueología Navarra,,,,,,,,,
2001,"La Intervención de Urgencia de 1997 en el Yacimiento de Pocito Chico, El Puerto de Santa María, Cádiz",,960352,,,,"La intervención de urgencia de 1997, en el yacimiento de Pocito Chico, El Puerto de Santa María, Cádiz",,['Revista'],1|José Antonio Ruiz Gil; 2|Juan José López Amador,,,,,,,,,,,
2001,La Sociedad Argárica a Partir de los Últimos Estudios de los Objetos Arqueológicos de Gatas,,959740,,,,La sociedad Argárica a partir de los últimos estudios de los objetos arqueológicos de Gatas,,['Revista'],1|Pedro V. Castro-Martínez; 2|Robert W. Chapman; 3|Trinidad Escoriza Mateu; 4|Vicente Lull Santiago; 5|Rafael Micó Pérez; 6|Cristina Rihuete Herrada; 7|Robert Risch; 8|María Encarna Sanahuja Yll,,,,,,,,,,,
