topic_id,rank,filename,title,author,doi,weight
0,1,693_2009.pdf,"Holocene vegetational landscapes of NE Iberia: charcoal analysis from Cova de la Guineu, Barcelona, Spain",,10.1177/0959683609105301,0.9997628331184387
0,2,927_ValenzuelaLamas_2016.pdf,Analysis of seasonal mobility of sheep in Iron Age Catalonia (north-eastern Spain) based on strontium and oxygen isotope analysis from tooth enamel: First results,,10.1016/j.jasrep.2015.08.042,0.9997531771659851
0,3,1036_chronology_2018.pdf,Chronology of the Neolithic Necropolis at Camí de Can Grau (NE-Iberian Peninsula). Funerary pattern changes and long-distance raw material exchanges,Berta Morell,10.1016/j.crpv.2017.10.002,0.9777679443359375
0,4,970_NeolothicNecropolis_2016.pdf,"The Neolithic Necropolis of La Feixa del Moro (Juberri, Andorra): New data on the first farming communities in the Pyrenees",Gerard Remolins,10.1016/j.crpv.2015.11.005,0.9480662941932678
0,5,969_PatriciaSaragoça_2016.pdf,Stable isotope and multi-analytical investigation of Monte da Cegonha: A Late Antiquity population in southern Portugal,Patrícia Saragoça,10.1016/j.jasrep.2016.07.010,0.9344742894172668
0,6,1070_Deciphering Neolithic_2019.pdf,Deciphering Neolithic activities from a Cardial burial site (Cova Bonica) on the western Mediterranean coast,Joan Daura,10.1016/j.jasrep.2018.10.036,0.9295889139175415
0,7,1060_Shipping amphorae_2018.pdf,Shipping amphorae and shipping sheep? Livestock mobility in the north-east Iberian peninsula during the Iron Age based on strontium isotopic analyses of sheep and goat tooth enamel,"Silvia Valenzuela-Lamas, Hector A. Orengo, Delphine Bosch, Maura Pellegrini, Paul Halstead, Ariadna Nieto-Espinet, Angela Trentacoste, Sergio Jim#_#x00E9;nez-Manch#_#x00F3;n, Dani L#_#x00F3;pez-Reyes, Rafel Jornet-Niella",10.1371/journal.pone.0205283,0.9284159541130066
0,8,973_Isotope_2017.pdf,Isotope analyses to explore diet and mobility in a medieval Muslim population at Tauste (NE Spain),"Iranzu Guede, Luis Angel Ortega, Maria Cruz Zuluaga, Ainhoa Alonso-Olazabal, Xabier Murelaga, Miriam Pina, Francisco Javier Gutierrez, Paola Iacumin",10.1371/journal.pone.0176572,0.9117971658706665
0,9,1067_Animal mobility_2019.pdf,Animal mobility in Chalcolithic Portugal_ Isotopic analyses of cattle from the sites of Zambujal and Leceia,Elizabeth Wright,10.1016/j.jasrep.2019.02.005,0.9096192121505737
0,10,1023_Socio_ecology_2017.pdf,Socio-ecology of Early and Middle Bronze Age communities in the northwest Atlantic region of Iberia: Wood resources procurement and forest management,María Martín-Seijo,10.1016/j.quaint.2015.08.026,0.8656423091888428
0,11,1113_mobility across the pre pyrenean_2020.pdf,"Mobility across the pre-Pyrenean mountain ranges during the Chalcolithic through strontium isotopes in human enamel_ La Cueva de los Cristales (Sarsa de Surta, Huesca, Spain)",Vanessa Villalba-Mouco,10.1016/j.jasrep.2020.102343,0.8489801287651062
0,12,1019_Reconstructing_2017.pdf,Type your Frontispiece or Quote Page here (if any),Courtney,,0.7592031359672546
0,13,879_2014.pdf,The rock-cut tomb of Bolores (Torres Vedras): an interdisciplinary approach to understanding the social landscape of the Late Neolithic/Copper Age of the Iberian Peninsula; La tumba hipogea de Bolores (Torres Vedras): una aproximación interdisciplinar a la comprensión del paisaje social del Neolítico Final/Edad del Cobre de la Península Ibérica,Katina T. Lillios,10.3989/tp.2014.12135,0.7438660860061646
0,14,861_2014.pdf,From Sado Valley to Europe: Mesolithic dietary practices through different geographic distributions,Maria Fontanals-Coll,10.1016/j.jas.2014.07.028,0.742652952671051
0,15,1132_Caprine mobility_2021.pdf,Caprine Mobility on the Balearic Islands During the Middle and Late Bronze Age (ca. 1600–850 BC): Fi,,10.1080/14614103.2021.1921675,0.7413986921310425
1,1,1176_betilos_2023.pdf,"El Edificio de los Betilos (Castro de Elviña, A Coruña): religiosidad e interacciones culturales en la Edad del Hierro del NoroesteEl Edificio de los Betilos (Castro de Elviña, A Coruña): religiosidad e interacciones culturales en la Edad del Hierro del Noroeste",Nión-Álvarez,10.12795/spal.2023.i32.14,0.9999040961265564
1,2,1103_Area 11_2020.pdf,El Área 11 de Giribaile. Estructura arquitectónica y materiales de construcción de un almacén ibérico de los siglos IV-II a. C. ; The Area 11 of Giribaile. Architectural structure and building materials of an Iberian warehouse on IV-II BC,Antonio Jesús Ortiz Villarejo,10.3989/aespa.093.020.004,0.9998810291290283
1,3,1148_Fortificacion_2021.pdf,¿La fortificación ibérica de Giribaile? Caracterización formal e interpretación arquitectónica de la muralla de cajones,"Gutiérrez Soler, Luis María",10.1344/Pyrenae2021.vol52num2.2,0.9998763203620911
1,4,685_2009.pdf,"El enterramiento múltiple, calcolítico, de Camino del Molino (Caravaca, Murcia). Metodología y primeros resultados de un yacimiento excepcional",Joaquín Lomba Maurandi et. al.,10.3989/tp.2009.09025,0.9998680353164673
