filename,author,title,doi,language,bertopic_topic,bertopic_prob
1000_oms_2017.pdf,F. Xavier Oms,"First Evidence of Collective Human Inhumation from the Cardial Neolithic (Cova Bonica, Barcelona, NE Iberian Peninsula)",10.1080/00934690.2016.1260407,en,2,0.9539734680828533
1001_HierrosAntiguos_2017.pdf,,01_ok.qxd,10.15366/cupauam2017.43.003,es,2,1.0
1002_gibaja2016.pdf,,12520_2015_311_Article 1..11,10.1007/s12520-015-0311-y,en,2,0.9704903272072092
1003_La_cronologia_radiocarbonica_de_las_primeras_manif_2017.pdf,"Gonzalo Aranda Jiménez, Águeda Lozano Medina, María Dolores Camalich Massieu, Dimas Martín Socas, Francisco Javier Rodríguez Santos, Aioze Trujillo Mederos, Jonathan Santana Cabrera, Angelique Nonza-Micaelli, Xavier Clop García","La cronología radiocarbónica de las primeras manifestaciones megalíticas en el sureste de la Península Ibérica: las necrópolis de Las Churuletas, La Atalaya y Llano del Jautón (Purchena, Almería); The radiocarbon chronology of the oldest megalithic monuments in southeastern Iberia: the necropolises of Las Churuletas, La Atalaya and Llano del Jautón (Purchena, Almería)",10.3989/tp.2017.12194,es,2,0.9712981805818197
1004_AsMamelasIberCrono_2017.pdf,Igor Bogdanovic,"La cronología en As Mamelas (Sanxenxo, Pontevedra) como ejemplo de yacimiento al aire libre de la Prehistoria Reciente gallega",10.3989/tp.2005.v62.i2.74,es,2,0.9294620868170164
"1006_La revolució neolítica. La Draga, el poblat dels prodigis_2017.pdf",,"# **La Draga, el poblat dels prodigis**",10.1016/j.quaint.2016.05.024_,ca,2,0.9450853539744282
1007_Peñon_IberCrono_2017.pdf,Gabriel,"# **La secuencia crono-cultural del yacimiento de Peñón de la Zorra (Villena, Alicante)**",,es,2,0.9926618289535007
1008_TafonomiaMarcoMetodologico_2017.pdf,"Borja González-Rabanal, Manuel Ramón González-Morales, Ana B. Marín-Arroyo","La tafonomía como marco metodológico para interpretar depósitos funerarios superficiales: estudio de la cueva sepulcral de El Espinoso (Ribadedeva, Asturias); Taphonomy as a methodological framework for understanding surface funerary deposits: the human burial at the cave of El Espinoso (Ribadedeva, Asturias)",10.3989/tp.2017.12195,es,2,0.9601035559578086
1009_KOBIE_Paleoantropologia_2017.pdf,,"LOS ENTERRAMIENTOS EN CISTA EN EL PIRINEO OCCIDENTAL: ARQUITECTURA, CRONOLOGÍA, RITUAL Y CARACTERIZACIÓN DE LOS INHUMADOS EN LA SIERRA DE ARALAR (GIPUZKOA) 57",,es,2,0.9680363951520241
1010_IberCrono_2017.pdf,Igor Bogdanovic,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/321826096",10.3989/tp.2014.12128,es,1,1.0
1011_Neolothic ditched_2017.pdf,Bóris,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/322147317",10.1002/oa.2502,en,1,0.6209486747265341
1013_Objetos de oro_2017.pdf,Joan Daura,Objetos de oro y epicampaniforme en la Cova del Gegant. Relaciones en la costa mediterránea de la Península Ibérica durante la Edad del Bronce ; Gold artifacts and Late Bell Beaker from Cova del Gegant: Interaction along the Mediterranean coastline of the Iberian Peninsula during Bronze Age,10.3989/tp.2017.12188,es,2,0.9664517359413075
1015_Dataciones_2017.pdf,"Dirk Brandherm, Michał Krueger",Primeras determinaciones radiocarbónicas de la necrópolis de Setefilla (Lora del Río) y el inicio del periodo orientalizante en Andalucía occidental; First radiocarbon determinations from the Setefilla necropolis (Lora del Río) and the beginning of the Orientalizing period in western Andalusia,10.3989/tp.2017.12196,es,2,0.9469909613982198
1016_Cova_Guineu_2017.pdf,,Coberta_tribuna_arqueologia,,ca,2,0.9201430863464767
1017_Ceramica_campaniforme_2017.pdf,,**==> picture [86 x 74] intentionally omitted <==**,,pt,2,0.9190293984910639
1018_Practicas_funerarias_IberCrono_2017.pdf,Xavier Clop García,# **Prácticas funerarias y cronometría entre 3.500-1.500 Cal ANE en el noreste de la Península Ibérica**,,es,2,1.0
1019_Reconstructing_2017.pdf,Courtney,Type your Frontispiece or Quote Page here (if any),,en,2,1.0
1020_RedilesyPastores_2017.pdf,lgzsaalj,Homenaje Lydia Zapata PR5.pdf,10.1016/S0305-4403(02)00031-6,en,1,1.0
